timestamp,x,y,z,accuracy
1637591501685,-8.069286,0.4548552,3.500608,3
1637591501705,-8.136321,0.11489321,3.4623022,3
1637591501724,-8.327848,-0.02396451,3.577219,3
1637591501745,-8.69654,-0.31125635,3.744806,3
1637591501765,-8.907221,-0.5315134,3.8309934,3
1637591501784,-9.103537,-0.6368538,3.917181,3
1637591501804,-9.256759,-0.7852879,4.1422267,3
1637591501824,-9.314218,-0.861899,4.3576956,3
1637591501844,-9.314218,-0.85711086,4.525282,3
1637591501864,-9.156207,-0.9193575,4.443883,3
1637591501887,-8.964679,-0.861899,4.37206,3
1637591501905,-9.036502,-0.8092289,4.3385425,3
1637591501924,-9.098749,-0.8140171,4.228414,3
1637591501945,-9.026926,-0.9624513,4.017733,3
1637591501964,-8.983831,-1.0917325,3.965063,3
1637591501984,-8.907221,-1.1348264,3.8740873,3
1637591502004,-8.912009,-1.0342743,3.8740873,3
1637591502023,-8.979044,-1.1874965,3.8740873,3
1637591502044,-8.983831,-1.0438507,3.8549345,3
1637591502062,-8.964679,-0.86668724,3.7783234,3
1637591502083,-8.974256,-0.8140171,3.8214173,3
1637591502104,-8.998197,-0.88105184,3.7831116,3
1637591502122,-9.046079,-0.8523227,3.7735353,3
1637591502143,-9.055655,-1.0677917,3.672983,3
1637591502163,-9.103537,-0.9289338,3.744806,3
1637591502182,-9.1370535,-0.9289338,3.6681948,3
1637591502202,-9.108325,-0.9768159,3.7017121,3
1637591502222,-9.084384,-0.92414564,3.6825595,3
1637591502241,-9.156207,-0.75177056,3.7112885,3
1637591502262,-9.156207,-0.7278295,3.7400177,3
1637591502281,-9.117902,-0.6703712,3.8309934,3
1637591502302,-9.165784,-0.5075724,3.7304416,3
1637591502321,-9.084384,-0.48841965,3.7400177,3
1637591502342,-9.07002,-0.54108983,3.7065005,3
1637591502360,-9.079596,-0.5363016,3.7495942,3
1637591502382,-9.084384,-0.49799603,3.7352295,3
1637591502401,-9.113112,-0.4405377,3.7112885,3
1637591502427,-9.184936,-0.4309613,3.768747,3
1637591502438,-9.113112,-0.44532585,3.7783234,3
1637591502471,-9.007772,-0.33040917,3.6873477,3
1637591502482,-9.12269,-0.33998555,3.7304416,3
1637591502499,-9.199301,-0.34477377,3.7543824,3
1637591502519,-9.098749,-0.36392653,3.8214173,3
1637591502542,-9.084384,-0.2490098,3.7304416,3
1637591502560,-9.127478,-0.22985698,3.7543824,3
1637591502580,-9.170571,-0.19633962,3.7065005,3
1637591502600,-9.141843,-0.2681626,3.8357818,3
1637591502619,-9.17536,-0.2633744,3.8357818,3
1637591502639,-9.06523,-0.19633962,3.7304416,3
1637591502661,-8.873704,-0.18676321,3.7783234,3
1637591502681,-8.821033,-0.22028063,3.7783234,3
1637591502701,-8.768363,-0.22506882,3.7017121,3
1637591502720,-8.710905,-0.21549241,3.6873477,3
1637591502740,-8.864127,-0.30646813,3.6346774,3
1637591502761,-8.935949,-0.36871475,3.672983,3
1637591502781,-9.07002,-0.2490098,3.7304416,3
1637591502799,-9.208877,-0.27295077,3.6298892,3
1637591502817,-9.395617,-0.28731537,3.7065005,3
1637591502836,-9.491381,-0.32562095,3.7017121,3
1637591502854,-9.376464,-0.5219371,3.768747,3
1637591502874,-9.160995,-0.47405505,3.7065005,3
1637591502894,-9.093961,-0.6081246,3.8309934,3
1637591502914,-8.725268,-0.75177056,3.8357818,3
1637591502934,-8.327848,-0.8714755,3.7543824,3
1637591502954,-8.246449,-0.9145692,3.7591705,3
1637591502977,-8.380519,-0.957663,3.8788755,3
1637591502994,-8.437978,-0.98160404,3.7783234,3
1637591503012,-8.572047,-0.957663,3.6873477,3
1637591503032,-8.706117,-0.99596864,3.5867956,3
1637591503053,-8.888068,-0.99596864,3.6681948,3
1637591503074,-9.046079,-0.9624513,3.6873477,3
1637591503094,-9.271124,-0.9863922,3.649042,3
1637591503114,-9.510533,-1.0007567,3.7543824,3
1637591503134,-9.486593,-1.0199096,3.6825595,3
1637591503154,-9.395617,-0.93851024,3.7112885,3
1637591503174,-9.342947,-0.8762637,3.7017121,3
1637591503199,-9.2807,-0.9145692,3.792688,3
1637591503213,-9.07002,-0.9145692,3.8549345,3
1637591503234,-8.840186,-0.78049976,3.9028165,3
1637591503251,-8.902432,-0.617701,3.9746394,3
1637591503270,-8.888068,-0.6081246,3.9554868,3
1637591503291,-8.69654,-0.6129128,4.0464625,3
1637591503312,-8.734846,-0.6703712,4.0991325,3
1637591503332,-8.816245,-0.70388854,4.0464625,3
1637591503353,-9.06523,-0.7709233,3.8309934,3
1637591503371,-9.089171,-0.82838166,3.8118408,3
1637591503391,-8.983831,-0.9863922,3.8788755,3
1637591503412,-9.046079,-0.99596864,3.8262053,3
1637591503445,-9.055655,-0.99596864,3.8214173,3
1637591503455,-9.156207,-0.95287484,3.720865,3
1637591503471,-9.103537,-0.9289338,3.744806,3
1637591503491,-8.979044,-0.99118036,3.7065005,3
1637591503510,-9.007772,-1.0342743,3.6777713,3
1637591503531,-9.07002,-0.9193575,3.6346774,3
1637591503550,-9.055655,-0.9720276,3.6586185,3
1637591503570,-9.036502,-0.9145692,3.5915837,3
1637591503590,-9.07002,-0.8714755,3.6586185,3
1637591503610,-9.0317135,-0.93372196,3.6059482,3
1637591503630,-8.9503145,-0.9145692,3.60116,3
1637591503649,-8.844974,-0.9002047,3.6442537,3
1637591503669,-8.921586,-0.85711086,3.672983,3
1637591503689,-8.964679,-0.7421941,3.7495942,3
1637591503708,-8.921586,-0.6320656,3.6873477,3
1637591503730,-8.98862,-0.54108983,3.7065005,3
1637591503752,-8.945527,-0.4549023,3.7783234,3
1637591503767,-9.007772,-0.55545443,3.8357818,3
1637591503788,-9.07002,-0.5363016,3.8501463,3
1637591503807,-9.002985,-0.641642,3.8022642,3
1637591503827,-9.026926,-0.67994756,3.7304416,3
1637591503848,-9.093961,-0.66558295,3.7017121,3
1637591503872,-9.256759,-0.6703712,3.7017121,3
1637591503887,-9.151419,-0.6607948,3.7543824,3
1637591503907,-9.156207,-0.46447867,3.7974763,3
1637591503931,-9.160995,-0.36871475,3.84057,3
1637591503946,-9.12269,-0.2825272,3.9219694,3
1637591503964,-9.12269,-0.33040917,3.9842157,3
1637591503984,-9.170571,-0.3878675,4.089556,3
1637591504004,-9.247183,-0.4549023,4.084768,3
1637591504024,-9.208877,-0.46926683,4.13265,3
1637591504044,-9.007772,-0.617701,4.175744,3
1637591504064,-9.002985,-0.6320656,4.084768,3
1637591504084,-9.074808,-0.70388854,4.0464625,3
1637591504104,-9.127478,-0.65121835,4.012945,3
1637591504124,-8.998197,-0.6847357,4.008157,3
1637591504144,-8.85455,-0.70867676,3.9076047,3
1637591504165,-8.88328,-0.75177056,3.8453581,3
1637591504184,-8.878491,-0.72304136,3.8692992,3
1637591504204,-8.821033,-0.689524,3.8118408,3
1637591504224,-8.7156925,-0.7374059,3.744806,3
1637591504244,-8.6917515,-0.7374059,3.6059482,3
1637591504264,-8.720481,-0.6703712,3.5963717,3
1637591504284,-8.701327,-0.6129128,3.6155248,3
1637591504304,-8.624717,-0.6081246,3.6107366,3
1637591504325,-8.615141,-0.62248915,3.5867956,3
1637591504345,-8.69654,-0.57460725,3.6586185,3
1637591504364,-8.811457,-0.49320787,3.792688,3
1637591504384,-8.758787,-0.4788432,3.8788755,3
1637591504424,-8.902432,-0.35913837,3.965063,3
1637591504424,-8.888068,-0.37829113,4.0225215,3
1637591504445,-8.830609,-0.2825272,4.065615,3
1637591504464,-8.964679,-0.2825272,4.2954483,3
1637591504482,-8.979044,-0.30167997,4.3098135,3
1637591504504,-8.868915,-0.2825272,4.1470146,3
1637591504522,-8.983831,-0.15324585,4.2906604,3
1637591504541,-9.184936,-0.18197502,4.396001,3
1637591504561,-8.873704,-0.019176304,4.2667193,3
1637591504583,-8.7970915,0.009552874,4.199685,3
1637591504602,-8.801881,-0.22985698,4.2188373,3
1637591504620,-8.753999,-0.36392653,4.13265,3
1637591504639,-8.643869,-0.2633744,3.9363341,3
1637591504660,-8.768363,-0.35913837,3.9076047,3
1637591504680,-8.868915,-0.34956193,3.888452,3
1637591504700,-8.753999,-0.4596905,3.941122,3
1637591504720,-8.768363,-0.4022321,3.9506984,3
1637591504741,-8.849763,-0.32083273,3.8788755,3
1637591504759,-8.892856,-0.28731537,3.8214173,3
1637591504779,-8.998197,-0.34477377,3.9602752,3
1637591504798,-9.0317135,-0.32562095,3.912393,3
1637591504819,-8.974256,-0.35913837,4.003369,3
1637591504839,-8.95989,-0.27295077,3.9028165,3
1637591504858,-8.849763,-0.31125635,3.9554868,3
1637591504878,-8.844974,-0.27295077,4.065615,3
1637591504899,-8.931162,-0.2825272,4.0751915,3
1637591504919,-8.859339,-0.31125635,4.060827,3
1637591504938,-8.907221,-0.2825272,4.1182857,3
1637591504961,-8.969467,-0.2346452,4.2236257,3
1637591504980,-8.979044,-0.15803407,4.2475667,3
1637591505001,-9.089171,-0.13409306,4.0464625,3
1637591505020,-9.060443,-0.090999275,3.9459105,3
1637591505037,-8.801881,-0.27295077,3.8980281,3
1637591505057,-8.758787,-0.56981903,3.8453581,3
1637591505075,-8.7970915,-0.6368538,3.84057,3
1637591505095,-8.825822,-0.69431216,3.8980281,3
1637591505115,-8.787516,-0.75177056,3.89324,3
1637591505136,-8.77315,-0.641642,3.9315457,3
1637591505155,-8.835398,-0.6081246,3.965063,3
1637591505174,-8.749209,-0.5985482,3.9985805,3
1637591505196,-8.6917515,-0.57460725,4.13265,3
